person_id,job_id,similarity_scores
258894,8166,5
181327,7912,4
132028,9279,11
238150,8935,4
318080,9357,4
261080,9123,4
180570,8390,4
124751,8195,4
325132,9356,4
144043,8390,4
248518,7636,4
296495,8892,4
109435,7706,6
324347,9283,5
229331,7646,6
206247,7611,4
140350,8762,5
158623,9215,5
201517,7829,5
318473,9149,5
131559,7812,4
305174,9100,5
35236,7750,4
152481,8404,4
32291,7734,4
280663,9215,4
175249,9338,6
116610,8587,6
213677,7764,4
148892,9128,6
194360,8419,11
164321,8404,4
324564,9398,4
114300,9621,4
104009,9160,11
194009,8571,4
290221,8786,4
87669,9258,4
174749,7912,5
62965,8390,5
137552,7592,4
120855,7779,6
104168,7750,4
235247,8059,4
169138,8611,4
127746,7779,6
324915,9283,4
323935,9450,4
324450,9459,5
225168,8891,5
77159,9230,4
57128,9184,4
174749,8404,6
324493,8726,5
135505,7912,4
201034,7603,4
98663,7779,4
179574,7697,5
169681,7736,5
324937,9567,4
262952,8609,4
324696,9195,5
128014,9350,5
242805,7640,4
163442,8833,4
281592,8717,5
131559,9397,4
103154,9279,6
317295,9195,5
35236,8052,4
187814,7606,4
175257,8410,4
252438,9428,4
213309,7579,5
128169,8404,6
178165,7601,6
255272,8515,4
213323,7621,6
253649,8600,6
325328,9494,4
200662,7697,6
313145,9149,6
241448,8968,12
318637,9283,5
318080,9283,5
170532,8846,4
242700,8984,5
321632,9300,4
204526,7638,4
71475,8066,4
160688,7608,6
187150,8762,4
216612,8724,5
233048,9283,5
260827,8740,6
68188,9219,4
325029,9623,5
236596,9469,6
318637,9195,5
61761,7825,4
177591,8419,4
202657,7733,6
87669,7697,6
35236,8570,6
183449,7691,5
92953,7597,5
318080,9195,5
249530,7697,5
92953,7611,5
285732,8739,5
239161,7779,5
119032,8892,5
148699,9022,4
177591,7697,5
318637,9518,4
137728,9338,4
94474,9010,4
53321,9128,5
148892,9392,12
114300,9517,5
324824,9557,4
288885,8530,4
214314,7706,5
317295,8912,5
132504,8762,4
295916,8876,7
181327,8803,4
119032,8962,5
110487,8419,6
109026,7779,6
321384,8762,4
160448,7590,5
325222,9195,5
182190,8410,4
147650,8418,4
157192,8935,5
128169,8848,6
320021,9279,5
143803,7603,6
115803,8419,6
88705,8404,4
89276,9232,4
256079,8935,4
322735,9233,6
183113,8515,7
113182,8693,4
89593,8404,7
