person_id,job_id,similarity_score
128014,9350,1
242805,7640,1
281592,8717,1
131559,9397,1
103154,9279,1
317295,9195,1
35236,8052,1
187814,7606,1
175257,8410,1
252438,9428,1
213309,7579,1
128169,8404,1
178165,7601,1
255272,8515,1
213323,7621,1
253649,8600,1
325328,9494,1
200662,7697,1
313145,9149,1
241448,8968,1
318637,9283,1
318080,9283,1
170532,8846,1
242700,8984,1
321632,9300,1
204526,7638,1
71475,8066,1
160688,7608,1
187150,8762,1
216612,8724,1
233048,9283,1
260827,8740,1
68188,9219,1
325029,9623,1
236596,9469,1
61761,7825,1
202657,7733,1
35236,8570,1
183449,7691,1
92953,7597,1
318080,9195,1
249530,7697,1
92953,7611,1
285732,8739,1
239161,7779,1
119032,8892,1
148699,9022,1
177591,7697,1
318637,9518,1
94474,9010,1
53321,9128,1
148892,9392,1
114300,9517,1
324824,9557,1
288885,8530,1
214314,7706,1
317295,8912,1
132504,8762,1
295916,8876,1
181327,8803,1
119032,8962,1
110487,8419,1
109026,7779,1
321384,8762,1
160448,7590,1
325222,9195,1
182190,8410,1
147650,8418,1
157192,8935,1
128169,8848,1
320021,9279,1
143803,7603,1
115803,8419,1
88705,8404,1
89276,9232,1
256079,8935,1
322735,9233,1
183113,8515,1
113182,8693,1
89593,8404,1
322941,9628,1
112188,7640,1
57128,8999,1
299622,8938,1
97377,7828,1
153989,7913,1
131489,8555,1
34059,7611,1
148892,9160,1
119108,8935,1
263906,7717,1
117027,8390,1
322808,8938,1
158942,7611,1
242549,7913,1
279239,8419,1
325029,9409,1
160911,9455,1
225238,8061,1
319522,9279,1
324717,9195,1
234490,9258,1
18012,9010,1
76843,7603,1
317295,9128,1
207441,7836,1
145416,7579,1
324835,9215,1
249530,9415,1
320021,9283,1
93881,8579,1
160230,8029,1
286461,8404,1
148845,8419,1
194009,8600,1
171302,653,1
154995,8326,1
60667,7697,1
243053,7912,1
177382,8975,1
252438,8727,1
289884,8739,1
252438,9100,1
260098,8404,1
200662,9109,1
220592,7734,1
89593,7738,1
286461,8610,1
120488,9123,1
263297,8404,1
79580,7611,1
286461,8876,1
260173,8911,1
322941,9283,1
119647,8162,1
174111,8390,1
35236,7667,1
257459,8390,1
212550,9300,1
316518,9218,1
158075,8703,1
212260,7588,1
233048,9128,1
197658,7680,1
110487,8911,1
132504,8968,1
98196,7640,1
197485,8975,1
